date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:49	2275/2275	---MC-	200	added ('OK')	text/xml	date:Wed,%2022%20Aug%202018%2004:04:47%20GMT	http://thepointsb.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fthepointsb.com%2F&format=xml	E:/Sites/ThePoint/thepointsb.com/wp-json/oembed/1.0/embed0027	(from http://thepointsb.com/)
21:04:49	40950/40950	---M--	200	added ('OK')	application/javascript	date:Mon,%2009%20Apr%202018%2021:22:27%20GMT	http://thepointsb.com/wp-content/plugins/landing-pages//shared/assets/js/frontend/analytics/inboundAnalytics.min.js	E:/Sites/ThePoint/thepointsb.com/wp-content/plugins/landing-pages/shared/assets/js/frontend/analytics/inboundAnalytics.min.js	(from http://thepointsb.com/)
21:04:50	4163/4163	---M--	200	added ('OK')	image/png	date:Tue,%2022%20May%202018%2019:45:34%20GMT	http://thepointsb.com/wp-content/uploads/2018/05/ThePointLogo_color.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/05/ThePointLogo_color.png	(from http://thepointsb.com/)
21:04:50	11614/11614	---M--	200	added ('OK')	text/css	date:Mon,%2020%20Aug%202018%2017:19:01%20GMT	http://thepointsb.com/wp-content/cache/et/global/et-divi-customizer-global-15347855410327.min.css	E:/Sites/ThePoint/thepointsb.com/wp-content/cache/et/global/et-divi-customizer-global-15347855410327.min.css	(from http://thepointsb.com/)
21:04:54	21987/21987	---M--	200	added ('OK')	image/png	date:Mon,%2021%20May%202018%2019:24:12%20GMT	http://thepointsb.com/wp-content/uploads/2018/05/The-Point-Logo.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/05/The-Point-Logo.png	(from http://thepointsb.com/)
21:04:55	53321/53321	---MC-	200	added ('OK')	application/json	date:Wed,%2022%20Aug%202018%2004:04:44%20GMT	http://thepointsb.com/wp-json/	E:/Sites/ThePoint/thepointsb.com/wp-json/index.html	(from http://thepointsb.com/)
21:04:57	97184/97184	---M--	200	added ('OK')	application/javascript	date:Thu,%2002%20Aug%202018%2017:20:39%20GMT	http://thepointsb.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	E:/Sites/ThePoint/thepointsb.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://thepointsb.com/)
21:05:03	33086/33086	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:04:53%20GMT	http://thepointsb.com/tpabout/	E:/Sites/ThePoint/thepointsb.com/tpabout/index.html	(from http://thepointsb.com/)
21:05:04	78288/78288	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:11:43%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/About-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/About-01.png	(from http://thepointsb.com/)
21:05:09	75097/75097	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:13:15%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/Directory-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/Directory-01.png	(from http://thepointsb.com/)
21:05:17	295067/295067	---MC-	200	added ('OK')	text/html	date:Wed,%2022%20Aug%202018%2004:04:56%20GMT	http://thepointsb.com/directory/	E:/Sites/ThePoint/thepointsb.com/directory/index.html	(from http://thepointsb.com/)
21:05:18	80106/80106	---M--	200	added ('OK')	image/png	date:Fri,%2001%20Jun%202018%2022:17:11%20GMT	http://thepointsb.com/wp-content/uploads/2018/06/News-01.png	E:/Sites/ThePoint/thepointsb.com/wp-content/uploads/2018/06/News-01.png	(from http://thepointsb.com/)
